Id	HGNC_symbol	Status	HGNC_ID	HGNC_name	GeneID	UniProt_AC	UniProt_ID	Domain	MGI_symbol	MGI_ID	UniProt_AC_Mm	UniProt_ID_Mm	GeneTag	GeneDesc	Function	Modification	PMID_function	Complex_name	Target	Specific_target	Product	UniProt_ID_target	PMID_target	Comment
203	EXOSC5	#	24662	exosome component 5	56915	Q9NQT4	EXOS5_HUMAN	"RNase_PH PF01138 27-147, RNase_PH_C PF03725 150-216"	Exosc5	107889	Q9CRA8	EXOS5_MOUSE	#	#	"Scaffold protein, RNA modification"	"#, RNA degradation"	17174896	RNA exosome	RNA	#	#	#	17174896	"RNA abundance is regulated by balancing transcription and RNA degradation, processes that control the temporal and spatial distribution of cellular RNA. After decapping, 5?€? to 3?€? RNA degradation is accomplished by Xrn1, a 5?€? to 3?€? exoribonuclease. In the 3?€? to 5?€? pathway, RNA degradation is catalyzed by a multisubunit 3?€? to 5?€? exoribonuclease complex termed the RNA exosome. Three additional exosome subunits, Csl4=EXOSC1, Rrp4=EXOSC2, and Rrp40=EXOSC3, include S1 or KH domains, which are postulated to bind RNA."
204	EXOSC6	#	19055	exosome component 6	118460	Q5RKV6	EXOS6_HUMAN	RNase_PH PF01138 35-175	Exosc6	1919794	Q8BTW3	EXOS6_MOUSE	#	#	"Scaffold protein, RNA modification"	"#, RNA degradation"	17174896	RNA exosome	RNA	#	#	#	17174896	"RNA abundance is regulated by balancing transcription and RNA degradation, processes that control the temporal and spatial distribution of cellular RNA. After decapping, 5?€? to 3?€? RNA degradation is accomplished by Xrn1, a 5?€? to 3?€? exoribonuclease. In the 3?€? to 5?€? pathway, RNA degradation is catalyzed by a multisubunit 3?€? to 5?€? exoribonuclease complex termed the RNA exosome. Three additional exosome subunits, Csl4=EXOSC1, Rrp4=EXOSC2, and Rrp40=EXOSC3, include S1 or KH domains, which are postulated to bind RNA."
205	EXOSC7	#	28112	exosome component 7	23016	Q15024	EXOS7_HUMAN	"RNase_PH PF01138 31-166, RNase_PH_C PF03725 196-262"	Exosc7	1913696	Q9D0M0	EXOS7_MOUSE	#	#	"Scaffold protein, RNA modification"	"#, RNA degradation"	17174896	RNA exosome	RNA	#	#	#	17174896	"RNA abundance is regulated by balancing transcription and RNA degradation, processes that control the temporal and spatial distribution of cellular RNA. After decapping, 5?€? to 3?€? RNA degradation is accomplished by Xrn1, a 5?€? to 3?€? exoribonuclease. In the 3?€? to 5?€? pathway, RNA degradation is catalyzed by a multisubunit 3?€? to 5?€? exoribonuclease complex termed the RNA exosome. Three additional exosome subunits, Csl4=EXOSC1, Rrp4=EXOSC2, and Rrp40=EXOSC3, include S1 or KH domains, which are postulated to bind RNA."
206	EXOSC8	#	17035	exosome component 8	11340	Q96B26	EXOS8_HUMAN	"RNase_PH PF01138 31-166, RNase_PH_C PF03725 191-258"	Exosc8	1916889	Q9D753	EXOS8_MOUSE	#	#	"Scaffold protein, RNA modification"	"#, RNA degradation"	17174896	RNA exosome	RNA	#	#	#	17174896	"RNA abundance is regulated by balancing transcription and RNA degradation, processes that control the temporal and spatial distribution of cellular RNA. After decapping, 5?€? to 3?€? RNA degradation is accomplished by Xrn1, a 5?€? to 3?€? exoribonuclease. In the 3?€? to 5?€? pathway, RNA degradation is catalyzed by a multisubunit 3?€? to 5?€? exoribonuclease complex termed the RNA exosome. Three additional exosome subunits, Csl4=EXOSC1, Rrp4=EXOSC2, and Rrp40=EXOSC3, include S1 or KH domains, which are postulated to bind RNA."
207	EXOSC9	#	9137	exosome component 9	5393	Q06265	EXOS9_HUMAN	"RNase_PH PF01138 31-163, RNase_PH_C PF03725 189-256"	Exosc9	1355319	Q9JHI7	EXOS9_MOUSE	#	#	"Scaffold protein, RNA modification"	"#, RNA degradation"	17174896	RNA exosome	RNA	#	#	#	17174896	"RNA abundance is regulated by balancing transcription and RNA degradation, processes that control the temporal and spatial distribution of cellular RNA. After decapping, 5?€? to 3?€? RNA degradation is accomplished by Xrn1, a 5?€? to 3?€? exoribonuclease. In the 3?€? to 5?€? pathway, RNA degradation is catalyzed by a multisubunit 3?€? to 5?€? exoribonuclease complex termed the RNA exosome. Three additional exosome subunits, Csl4=EXOSC1, Rrp4=EXOSC2, and Rrp40=EXOSC3, include S1 or KH domains, which are postulated to bind RNA."
208	EYA1	#	3519	EYA transcriptional coactivator and phosphatase 1	2138	Q99502	EYA1_HUMAN	"Pfam-B_10178 PB010178 530-586, Pfam-B_3150 PB003150 209-513"	Eya1	109344	P97767	EYA1_MOUSE	PTPE	Protein tyrosine phosphatases / Asp-based PTPs	Histone modification erase	Histone phosphorylation	19234442	#	histone	H2AXT142	#	#	19234442	"Eya effectively removes the phosphotyrosine mark from H2AX, while the phosphatase-inactive mutant Eya proteins (Eya1 D323A or Eya3 D246A) have little or no effect."
209	EYA2	#	3520	EYA transcriptional coactivator and phosphatase 2	2139	O00167	EYA2_HUMAN	#	Eya2	109341	O08575	EYA2_MOUSE	PTPE	Protein tyrosine phosphatases / Asp-based PTPs	Histone modification erase	Histone phosphorylation	19351884	#	histone	H2AXT142	#	#	19351884	EYA2 and EYA3 display specificity (dephosphorylation) for Tyr-142 of H2A.X in assays in vitro.
210	EYA3	#	3521	EYA transcriptional coactivator and phosphatase 3	2140	Q99504	EYA3_HUMAN	#	Eya3	109339	P97480	EYA3_MOUSE	PTPE	Protein tyrosine phosphatases / Asp-based PTPs	Histone modification erase	Histone phosphorylation	19351884	#	histone	H2AXT142	#	#	19351884	EYA2 and EYA3 display specificity (dephosphorylation) for Tyr-142 of H2A.X in assays in vitro.
211	EYA4	#	3522	EYA transcriptional coactivator and phosphatase 4	2070	O95677	EYA4_HUMAN	Pfam-B_6035 PB006035 96-142	Eya4	1337104	Q9Z191	EYA4_MOUSE	PTPE	Protein tyrosine phosphatases / Asp-based PTPs	Histone modification erase	Histone phosphorylation	#	#	histone	H2AXY142ph	H2AXY142	#	24096489	"In response to double-stranded breaks, EYA4 dephosphorylates the Tyr-142 residue of H2AX facilitating phosphorylation of Ser-139 of H2AX (forming ??H2AX), leading to the recruitment of DNA repair complex components to sites of double-stranded break."
212	EZH1	#	3526	enhancer of zeste 1 polycomb repressive complex 2 subunit	2145	Q92800	EZH1_HUMAN	"EZH2_WD-Binding PF11616 39-68, SET PF00856 624-728"	Ezh1	1097695	P70351	EZH1_MOUSE	KMT	Chromatin-modifying enzymes / K-methyltransferases	"Histone modification write, Polycomb group (PcG) protein"	"Histone methylation, #"	19026781	PRC2	histone	H3K27	"H3K27me1, H3K27me2, H3K27me3"	#	19026781	"Polycomb group proteins are critical to maintaining gene repression established during Drosophila development. Part of this group forms the PRC2 complex containing Ez that catalyzes di- and trimethylation of histone H3 lysine 27 (H3K37me2/3), marks repressive to transcription. The mammalian homologs Ezh1 and Ezh2 form similar PRC2 complexes but exhibit contrasting repressive roles. While PRC2-Ezh2 catalyzes H3K27me2/3 and its knockdown affects global H3K27me2/3 levels, PRC2-Ezh1 performs this function weakly."
213	EZH2	#	3527	enhancer of zeste 2 polycomb repressive complex 2 subunit	2146	Q15910	EZH2_HUMAN	"EZH2_WD-Binding PF11616 39-68, SET PF00856 623-727"	Ezh2	107940	Q61188	EZH2_MOUSE	KMT	Chromatin-modifying enzymes / K-methyltransferases	"Histone modification write, Polycomb group (PcG) protein"	"Histone methylation, #"	19026781	PRC2	histone	H3K27	"H3K27me1, H3K27me2, H3K27me3"	#	19026781	"Polycomb group proteins are critical to maintaining gene repression established during Drosophila development. Part of this group forms the PRC2 complex containing Ez that catalyzes di- and trimethylation of histone H3 lysine 27 (H3K37me2/3), marks repressive to transcription. The mammalian homologs Ezh1 and Ezh2 form similar PRC2 complexes, but exhibit contrasting repressive roles. While PRC2-Ezh2 catalyzes H3K27me2/3 and its knockdown affects global H3K27me2/3 levels, PRC2-Ezh1 performs this function weakly."
214	FAM175A	#	25829	"family with sequence similarity 175, member A"	84142	Q6UWZ7	F175A_HUMAN	Pfam-B_8506 PB008506 1-175	Fam175a	1917931	Q8BPZ8	F175A_MOUSE	#	#	Scaffold protein	#	19261749	BRCA1-A	TF	#	#	#	19261749	"Abra1=FAM175A protein, which appears to act as a scaffold for the A complex. Abra1 is known to mediate the interaction of Rap80 with BRCA1."
215	FAM175B	#	28975	"family with sequence similarity 175, member B"	23172	Q15018	F175B_HUMAN	Pfam-B_24421 PB024421 331-390	Fam175b	1926116	Q3TCJ1	F175B_MOUSE	#	#	Histone modification erase cofactor	Histone ubiquitination	20656690	BRISC	histone	H2AK63	H2AK63ub	#	20656690	#
216	FBL	#	3599	fibrillarin	2091	P22087	FBRL_HUMAN	Fibrillarin PF01269 88-315	Fbl	95486	P35550	FBRL_MOUSE	#	#	Histone modification write	Histone methylation	24352239	#	histone	H2AQ104	H2AQ104me	#	24352239	"Nop1 is a methyltransferase in yeast, and fibrillarin is the orthologue enzyme in human cells. The modification is exclusively enriched over the 35S ribosomal DNA transcriptional unit. Glutamine methylation of H2A is the first histone epigenetic mark dedicated to a specific RNA polymerase and define its function as a regulator of FACT interaction with nucleosomes."
217	FBRS	New	20442	fibrosin	64319	Q9HAH7	FBRS_HUMAN	"Auts2 PF15336 82-282, Pfam-B_58582 PB058582 283-359"	Fbrs	104648	Q8R089	FBRS_MOUSE	#	#	Histone modification	#	"24217316, 22325352"	RING2-FBRS	histone	#	#	#	"24217316, 22325352"	Part of a RING2 complex.
218	FBRSL1	New	29308	fibrosin-like 1	57666	Q9HCM7	FBSL_HUMAN	"Auts2 PF15336 587-791, Pfam-B_17807 PB017807 439-487, Pfam-B_187339 PB187339 41-131, Pfam-B_52362 PB052362 164-412"	Fbrsl1	1920907	#	#	#	#	Histone modification	#	"24217316, 22325352"	RING2-FBRS	histone	#	#	#	"24217316, 22325352"	Part of a RING2 complex.
219	FOXA1	New	5021	forkhead box A1	3169	P55317	FOXA1_HUMAN	"Fork_head PF00250 170-265, Fork_head_N PF08430 17-169, HNF_C PF09354 397-461"	Foxa1	1347472	P35582	FOXA1_MOUSE	FOX	Forkhead boxes	"Chromatin remodelling, TF"	"#, #"	22406422	#	"chromatin, DNA"	DNA motif	#	#	#	FOXA1 functions in organizing nucleosome positioning.
220	FOXO1	New	3819	forkhead box O1	2308	Q12778	FOXO1_HUMAN	"Fork_head PF00250 127-268, Pfam-B_12765 PB012765 601-653, Pfam-B_39024 PB039024 1-49"	Foxo1	1890077	Q9R1E0	FOXO1_MOUSE	FOX	Forkhead boxes	TF	#	22406422	#	"histone, DNA"	"DNA motif, H3, H4"	#	#	#	FOXO1 interacts with core histones H3 and H4.
221	FOXP1	New	3823	forkhead box P1	27086	Q9H334	FOXP1_HUMAN	"Fork_head PF00250 465-555, Pfam-B_24123 PB024123 1-79"	Foxp1	1914004	P58462	FOXP1_MOUSE	FOX	Forkhead boxes	TF	#	22406422	#	"histone, DNA"	DNA motif	#	#	#	Recruitment of specific chromatin-modifying complexes with HDAC activity.
222	FOXP2	New	13875	forkhead box P2	93986	O15409	FOXP2_HUMAN	"Fork_head PF00250 504-593, Pfam-B_4008 PB004008 240-308"	Foxp2	2148705	P58463	FOXP2_MOUSE	FOX	Forkhead boxes	TF	#	22406422	#	"histone, DNA"	DNA motif	#	#	#	Recruitment of specific chromatin-modifying complexes with HDAC activity.
223	FOXP3	New	6106	forkhead box P3	50943	Q9BZS1	FOXP3_HUMAN	Fork_head PF00250 337-426	Foxp3	1891436	Q99JB6	FOXP3_MOUSE	FOX	Forkhead boxes	TF	#	22406422	#	"histone, DNA"	DNA motif	#	#	#	Recruitment of specific chromatin-modifying complexes with HDAC activity.
224	FOXP4	New	20842	forkhead box P4	116113	Q8IVH2	FOXP4_HUMAN	"Fork_head PF00250 467-555, Pfam-B_22084 PB022084 1-155, Pfam-B_23482 PB023482 569-647, Pfam-B_4008 PB004008 201-230"	Foxp4	1921373	Q9DBY0	FOXP4_MOUSE	FOX	Forkhead boxes	TF	#	22406422	#	"histone, DNA"	DNA motif	#	#	#	Recruitment of specific chromatin-modifying complexes with HDAC activity.
225	GADD45A	#	4095	"growth arrest and DNA-damage-inducible, alpha"	1647	P24522	GA45A_HUMAN	Ribosomal_L7Ae PF01248 21-123	Gadd45a	107799	P48316	GA45A_MOUSE	#	#	Chromatin remodelling	#	21986581	#	histone	"H2A, H2B, H3, H4"	#	#	21986581	"Active DNA demethylation is partially attributed to the ability  of Gadd45(A, B, C) proteins to bind histones and modify accessibility of DNA on damaged chromatin."
226	GADD45B	#	4096	"growth arrest and DNA-damage-inducible, beta"	4616	O75293	GA45B_HUMAN	Ribosomal_L7Ae PF01248 21-121	Gadd45b	107776	P22339	GA45B_MOUSE	#	#	Chromatin remodelling	#	21986581	#	histone	"H2A, H2B, H3, H4"	#	#	21986581	"Active DNA demethylation is partially attributed to the ability  of Gadd45(A, B, C) proteins to bind histones and modify accessibility of DNA on damaged chromatin."
227	GADD45G	#	4097	"growth arrest and DNA-damage-inducible, gamma"	10912	O95257	GA45G_HUMAN	Ribosomal_L7Ae PF01248 24-113	Gadd45g	1346325	Q9Z111	GA45G_MOUSE	#	#	Chromatin remodelling	#	21986581	#	histone	"H2A, H2B, H3, H4"	#	#	21986581	"Active DNA demethylation is partially attributed to the ability  of Gadd45(A, B, C) proteins to bind histones and modify accessibility of DNA on damaged chromatin."
228	GATAD1	New	29941	GATA zinc finger domain containing 1	57798	Q8WUU5	GATD1_HUMAN	"GATA PF00320 9-36, Pfam-B_13145 PB013145 175-216, Pfam-B_17231 PB017231 235-263"	Gatad1	1914460	Q920S3	GATD1_MOUSE	GATAD	GATA zinc finger domain containing	Histone modification read	#	20850016	#	histone	H3K4me3	#	#	#	GATA zinc finger domain containing 1 (GATAD1) has been identified as a H3K4me3 interactor.
229	GATAD2A	#	29989	GATA zinc finger domain containing 2A	54815	Q86YP4	P66A_HUMAN	Pfam-B_2058 PB002058 1-79	Gatad2a	2384585	Q8CHY6	P66A_MOUSE	GATAD	GATA zinc finger domain containing	Histone modification read	#	16415179	NuRD	histone	"H2A, H2B, H3, H4"	#	#	16415179	In vitro translated p66??=GATAD2A and p66?? showed a strong affinity for all histone tails tested.
230	GATAD2B	#	30778	GATA zinc finger domain containing 2B	57459	Q8WXI9	P66B_HUMAN	GATA PF00320 420-454	Gatad2b	2443225	Q8VHR5	P66B_MOUSE	GATAD	GATA zinc finger domain containing	Histone modification read	#	16415179	NuRD	histone	"H2A, H2B, H3, H4"	#	#	16415179	In vitro translated p66?? and p66??=GATAD2B showed a strong affinity for all histone tails tested.
231	GFI1	New	4237	growth factor independent 1 transcription repressor	2672	Q99684	GFI1_HUMAN	"LIM PF00412 228-283 287-342 346-401 405-460, Paxillin PF03535 6-135"	Gfi1	103170	P70338	GFI1_MOUSE	ZNF	"Zinc fingers, C2H2-type"	Chromatin remodelling	#	16287849	#	#	#	#	#	#	Gfi1 coordinates epigenetic repression of p21Cip/WAF1 by recruitment of histone lysine methyltransferase G9a and histone deacetylase 1.
232	GFI1B	New	4238	growth factor independent 1B transcription repressor	8328	Q5VTD9	GFI1B_HUMAN	"zf-C2H2 PF00096 220-242, zf-H2C2_2 PF13465 177-203 262-287 290-314"	Gfi1b	1276578	O70237	GFI1B_MOUSE	ZNF	"Zinc fingers, C2H2-type"	Histone modification cofactor	#	24395799	#	#	#	#	#	#	The principal hematopoietic regulator T-cell acute lymphocytic leukemia-1 (TAL1) is involved in regulating H3K27me3 variations in collaboration with the transcription factor growth factor independent 1B (GFI1B).
233	GLYR1	#	24434	glyoxylate reductase 1 homolog (Arabidopsis)	84656	Q49A26	GLYR1_HUMAN	"NAD_binding_11 PF14833 430-551, NAD_binding_2 PF03446 267-429, PWWP PF00855 6-89"	Glyr1	1921272	Q922P9	GLYR1_MOUSE	#	#	Histone modification read	#	20850016	#	histone	H3K4me3	#	#	20850016	"N-PAC=GLYR1, MSH-6, and NSD1 as well as NSD2 were identified as H3K36me3 interactors (Figure 1C; Table S2). Interestingly, these four proteins share a PWWP domain which is part of the Tudor domain ?€?Royal Family?€? and includes the Tudor, chromo and MBT domains that can interact with methylated lysine residues."
234	GSE1	#	28979	Gse1 coiled-coil protein	23199	Q14687	GSE1_HUMAN	DUF3736 PF12540 70-203 731-874	Gse1	1098275	Q3U3C9	GSE1_MOUSE	#	#	Histone modification erase	Histone acetylation	8724849	"BHC, LSD-CoREST"	RNA	#	#	#	8724849	A novel repeat composed of alternating Arg and Glu (RE repeat) was observed in KIAA0182. Alternating Arg-Asp tracts have been found in many RNA-binding proteins as a characteristic sequence. The presence of the RE repeat with structural similarity to the RD repeat strongly suggests that KIAA0182=GSE1 exhibits an RNA-binding activity.
235	GSG2	#	19682	germ cell associated 2 (haspin)	83903	Q8TF76	HASP_HUMAN	"DUF3635 PF12330 708-797, Pfam-B_41097 PB041097 111-310, Pfam-B_49843 PB049843 1-109, Pkinase PF00069 484-699"	Gsg2	1194498	Q9Z0R0	HASP_MOUSE	#	#	Histone modification write	Histone phosphorylation	20705812	#	histone	H3T3	H3T3ph	#	20705812	Phosphorylation of histone H3 threonine 3 (H3T3ph) by Haspin=GSG2 is necessary for CPC accumulation at centromeres and that CPC subunit Survivin binds directly to H3T3ph.
236	GTF2I	#	4659	general transcription factor IIi	2969	P78347	GTF2I_HUMAN	GTF2I PF02946 112-187 361-436 466-541 571-646 733-808 868-943	Gtf2i	1202722	Q9ESZ8	GTF2I_MOUSE	#	#	TF	#	9334314	BHC	DNA	DNA motif	#	#	#	Added because it is a complex partner.
237	GTF3C4	#	4667	"general transcription factor IIIC, polypeptide 4, 90kDa"	9329	Q9UKN8	TF3C4_HUMAN	"TFIIIC_delta PF12657 61-254, zf-TFIIIC PF12660 733-822"	Gtf3c4	2138937	Q8BMQ2	TF3C4_MOUSE	"KAT, GTF"	"Chromatin-modifying enzymes / K-acetyltransferases, General transcription factors"	Histone modification write	Histone acetylation	10523658	#	histone	H3	#	#	10523658	hTFIIIC90=GTF3C4 has an intrinsic histone acetyltransferase activity with a substrate specificity for histone H3.
238	HAT1	#	4821	histone acetyltransferase 1	8520	O14929	HAT1_HUMAN	Hat1_N PF10394 26-187	Hat1	96013	Q8BY71	HAT1_MOUSE	KAT	Chromatin-modifying enzymes / K-acetyltransferases	Histone modification write	Histone acetylation	9427644	#	histone	"H4, H2A"	#	#	9427644	"The human holoenzyme consists of two subunits: a catalytic subunit, Hat1, and a subunit that binds core histones, p46, which greatly stimulates the acetyltransferase activity of Hat1. On the other hand, given that the Hat1 holoenzyme bound weakly to H2A and also acetylated the H2A"
239	HCFC1	#	4839	host cell factor C1	3054	P51610	HCFC1_HUMAN	"Kelch_1 PF01344 32-71, Kelch_3 PF13415 91-145 146-208 215-263 264-330, Pfam-B_49758 PB049758 381-598"	Hcfc1	105942	Q61191	HCFC1_MOUSE	#	#	Chromatin remodelling	#	12670868	"NSL, COMPASS, MLL-HCF, CHD8, MLL2/3, COMPASS-like MLL1,2, MLL4/WBP7"	chromatin	#	#	#	12670868	A series of molecular activities are associated with the N-terminal subunit of HCF-1 in HSV uninfected cells. Two of these activities are associated with opposing roles in the regulation of transcription through the modulation of chromatin structure: Sin3 HDAC and a novel human Set1/Ash2 HMT.
240	HCFC2	#	24972	host cell factor C2	29915	Q9Y5Z7	HCFC2_HUMAN	"Kelch_1 PF01344 244-301, Kelch_3 PF13415 205-253, Kelch_5 PF13854 312-356"	Hcfc2	1915183	Q9D968	HCFC2_MOUSE	#	#	"Histone modification write cofactor, Histone modification write cofactor"	"Histone methylation, Histone acetylation"	15199122	"MLL-HCF, CHD8, MLL2/3, MLL4/WBP7"	histone	H3	#	#	15199122	"HCF-2 (HCFC2),  which specifically interact with a conserved binding motif in the MLL(N) (p300) subunit of MLL (histone methyltransferase ) and provide a potential mechanism for regulating its antagonistic transcriptional properties."
241	HDAC1	#	4852	histone deacetylase 1	3065	Q13547	HDAC1_HUMAN	"Hist_deacetyl PF00850 18-320, Pfam-B_22185 PB022185 444-478"	Hdac1	108086	O09106	HDAC1_MOUSE	#	#	Histone modification erase	Histone acetylation	10220385	"SWI/SNF_Brm, NuRD, BHC, MeCP1, mSin3A, core HDAC, mSin3A-like complex, RING2-L3MBTL2, CREST-BRG1, LSD-CoREST"	histone	"H3, H4"	#	#	10220385	"HDAC1, HDAC4, HDAC5, and HDAC6 deacetylate all four core histones equally well, though deacetylation by HDAC4 and HDAC5 is incomplete."
242	HDAC10	#	18128	histone deacetylase 10	83933	Q969S8	HDA10_HUMAN	Hist_deacetyl PF00850 13-322	Hdac10	2158340	Q6P3E7	HDA10_MOUSE	#	#	Histone modification erase	Histone acetylation	11861901	#	histone	"H2AKac, H2BKac, H3Kac, H4Kac"	"H2AK, H2BK, H3K, H4K"	#	11861901	HDAC10 can deacetylate histones.
243	HDAC11	#	19086	histone deacetylase 11	79885	Q96DB2	HDA11_HUMAN	Hist_deacetyl PF00850 23-320	Hdac11	2385252	Q91WA3	HDA11_MOUSE	#	#	Histone modification erase	Histone acetylation	9346952	#	histone	"H2AKac, H2BKac, H3Kac, H4Kac"	"H2AK, H2BK, H3K, H4K"	#	9346952	HDAC11 is a bona fide histone deacetylase.
244	HDAC2	#	4853	histone deacetylase 2	3066	Q92769	HDAC2_HUMAN	"Hist_deacetyl PF00850 19-321, Pfam-B_46198 PB046198 351-449"	Hdac2	1097691	P70288	HDAC2_MOUSE	#	#	Histone modification erase	Histone acetylation	9346952	"SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, NuRD, BHC, MeCP1, mSin3A, core HDAC, mSin3A-like complex, RING2-L3MBTL2, LSD-CoREST"	histone	"H2AKac, H2BKac, H3Kac, H4Kac"	"H2AK, H2BK, H3K, H4K"	#	9346952	"HDAC1, HDAC2, and HDAC3 constitute a human HDAC family. All three proteins possess histone deacetylase activity, and repress transcription when bound to a promoter."
245	HDAC3	#	4854	histone deacetylase 3	8841	O15379	HDAC3_HUMAN	"Hist_deacetyl PF00850 11-315, Pfam-B_3137 PB003137 353-383"	Hdac3	1343091	O88895	HDAC3_MOUSE	#	#	Histone modification erase	Histone acetylation	10655483	#	histone	"H2AKac, H2BKac, H3Kac, H4Kac"	"H2AK, H2BK, H3K, H4K"	#	10655483	"HDAC1, HDAC2, and HDAC3 constitute a human HDAC family. All three proteins possess histone deacetylase activity, and repress transcription when bound to a promoter."
246	HDAC4	#	14063	histone deacetylase 4	9759	P56524	HDAC4_HUMAN	"Arb2 PF09757 1000-1059, HDAC4_Gln PF12203 61-152, Hist_deacetyl PF00850 664-993"	Hdac4	3036234	Q6NZM9	HDAC4_MOUSE	#	#	Histone modification erase	Histone acetylation	10220385	#	histone	"H2AKac, H2BKac, H3Kac, H4Kac"	"H2AK, H2BK, H3K, H4K"	#	10220385	"HDAC1, HDAC4, HDAC5, and HDAC6 deacetylate all four core histones equally well, though deacetylation by HDAC4 and HDAC5 is incomplete."
247	HDAC5	#	14068	histone deacetylase 5	10014	Q9UQL6	HDAC5_HUMAN	"HDAC4_Gln PF12203 66-133, Hist_deacetyl PF00850 693-1023"	Hdac5	1333784	Q9Z2V6	HDAC5_MOUSE	#	#	Histone modification erase	Histone acetylation	10220385	#	histone	"H2AKac, H2BKac, H3Kac, H4Kac"	"H2AK, H2BK, H3K, H4K"	#	10220385	"HDAC1, HDAC4, HDAC5, and HDAC6 deacetylate all four core histones equally well, though deacetylation by HDAC4 and HDAC5 is incomplete."
248	HDAC6	#	14064	histone deacetylase 6	10013	Q9UBN7	HDAC6_HUMAN	"Hist_deacetyl PF00850 95-403 489-799, zf-UBP PF02148 1133-1195"	Hdac6	1333752	Q9Z2V5	HDAC6_MOUSE	#	#	Histone modification erase	Histone acetylation	10220385	#	histone	"H2AKac, H2BKac, H3Kac, H4Kac"	"H2AK, H2BK, H3K, H4K"	#	10220385	"HDAC1, HDAC4, HDAC5, and HDAC6 deacetylate all four core histones equally well, though deacetylation by HDAC4 and HDAC5 is incomplete. (HDAC6 is possibly not involved in epigenetic signalling, but it deacetylates microtubules and heat shock protein 90; PMID:22498752)"
249	HDAC7	#	14067	histone deacetylase 7	51564	Q8WUI4	HDAC7_HUMAN	"Hist_deacetyl PF00850 530-860, Pfam-B_5922 PB005922 1-148"	Hdac7	1891835	Q8C2B3	HDAC7_MOUSE	#	#	Histone modification erase	Histone acetylation	18285338	#	histone	"H2AKac, H2BKac, H3Kac, H4Kac"	"H2AK, H2BK, H3K, H4K"	#	18285338	"The isolated and purified catalytic domain of the human class IIa HDAC, cdHDAC7, has an intrinsic low level of deacetylase activity in the absence of any complex partner which can be inhibited by known HDAC inhibitors such as the hydroxamic acid TSA. It has been showen that the isolated catalytic domain of class IIa HDACs have weak but measurable intrinsic catalytic activity on chemically acetylated core histones."
250	HDAC8	#	13315	histone deacetylase 8	55869	Q9BY41	HDAC8_HUMAN	"Hist_deacetyl PF00850 21-323, Pfam-B_15628 PB015628 324-375"	Hdac8	1917565	Q8VH37	HDAC8_MOUSE	#	#	Histone modification erase	Histone acetylation	10748112	#	histone	"H2AKac, H2BKac, H3Kac, H4Kac"	"H2AK, H2BK, H3K, H4K"	#	10748112	"HDAC8 exhibited deacetylase activity toward acetylated histone, indicating that this protein is a bona fide histone deacetylase."
251	HDAC9	#	14065	histone deacetylase 9	9734	Q9UKV0	HDAC9_HUMAN	"HDAC4_Gln PF12203 36-124, Hist_deacetyl PF00850 643-973, Pfam-B_5353 PB005353 577-624"	Hdac9	1931221	Q99N13	HDAC9_MOUSE	#	#	Histone modification erase	Histone acetylation	12590135	#	histone	"H3Kac, H4Kac"	"H3K, H4K"	#	12590135	"A new member of the Class II HDAC family, HDAC9. The enzyme contains a conserved deacetylase domain, represses reporter activity when recruited to a promoter, and utilizes histones H3 and H4 as substrates in vitro and in vivo."
252	HDGF	#	4856	hepatoma-derived growth factor	3068	P51858	HDGF_HUMAN	PWWP PF00855 10-92	Hdgf	1194494	P51859	HDGF_MOUSE	#	#	"Chromatin remodelling, TF"	"#, TF repressor"	"18331345, 17974029"	#	DNA	DNA motif	#	#	18331345	SUMOylated HDGF is not bound to chromatin.
253	HELLS	#	4861	"helicase, lymphoid-specific"	3070	Q9NRZ9	HELLS_HUMAN	"Helicase_C PF00271 633-712, SNF2_N PF00176 226-577"	Hells	106209	Q60848	HELLS_MOUSE	#	#	Chromatin remodelling	#	14612388	#	chromatin	#	#	#	"14517253, 14612388"	Lymphoid-specific helicase (Lsh=HELLS) is another member of the SNF2 family of chromatin remodeling proteins.
254	HIF1AN	#	17113	"hypoxia inducible factor 1, alpha subunit inhibitor"	55662	Q9NWT6	HIF1N_HUMAN	Cupin_8 PF13621 48-302	Hif1an	2442345	Q8BLR9	HIF1N_MOUSE	#	#	Histone modification erase cofactor	Histone acetylation	11641274	#	histone	#	#	#	11641274	VHL and FIH-1=HIF1AN interact with histone deacetylases in vitro.
255	HINFP	#	17850	histone H4 transcription factor	25988	Q9BQA5	HINFP_HUMAN	"Pfam-B_17110 PB017110 1-103, zf-C2H2 PF00096 255-278 345-368, zf-C2H2_4 PF13894 229-254, zf-H2C2_2 PF13465 185-210"	Hinfp	2429620	Q8K1K9	HINFP_MOUSE	ZNF	"Zinc fingers, C2H2-type"	"Histone modification read, TF, TF"	"#, TF activator, TF repressor"	14585971	#	"histone, DNA"	"H4, DNA motif"	#	#	14585971	HiNF-P interacts with conserved H4 cell cycle regulatory sequences in vivo.
